subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
172	14	25	now	16	0
172	1	25	now	20	0
172	22	35	now	26	0
172	126	30	now	20	1
172	15	30	now	26	1
172	4	30	now	15	0
172	180	25	now	24	1
172	145	25	now	23	1
172	130	30	now	29	1
172	168	35	now	17	0
172	47	35	now	34	0
172	3	30	now	23	0
172	87	30	now	29	0
172	110	35	now	34	1
172	16	30	now	15	0
172	173	25	now	24	0
172	9	30	now	22	0
172	170	30	now	29	0
172	152	35	now	33	1
172	113	30	now	28	1
172	109	30	now	11	0
172	119	35	now	16	0
172	43	35	now	13	1
172	11	25	now	12	0
172	159	35	now	25	0
172	44	30	now	27	0
172	158	25	now	20	0
172	99	35	now	10	0
172	12	35	now	12	0
172	136	25	now	22	1
172	25	35	now	10	0
172	76	25	now	21	1
172	7	30	now	14	0
172	98	25	now	18	0
172	61	35	now	33	1
172	5	25	now	19	0
172	48	25	now	17	0
172	111	30	now	27	0
172	41	35	now	30	0
172	35	35	now	11	0
172	8	30	now	25	0
172	30	25	now	21	0
172	2	25	now	19	0
172	45	30	now	28	1
172	37	25	now	13	0
172	112	25	now	24	0
172	106	30	now	18	0
172	6	35	now	14	0
172	81	35	now	31	0
172	160	35	now	34	1
172	58	25	now	13	0
