C:\Users\tug47820\Downloads\data\data\s4724_1\ITCvB_070219-4724-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	0	j	-999999	30	171898	0	f	3871	175769																			30	7	155 days	now					2	1	1	ChoiceExp2		List8
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	1	j	-999999	17	177313	0	j	3904	181217																			8	25	now	121 days					1	1	2	ChoiceExp2		List8
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0		0	0	0	0		0	0	0	j	-999999	25	190874	0	f	4921	195795	11	35	now	35	1	42	1	1				ChoiceExp1	65	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0		0	0	0	0		0	0	0	j	-999999	33	197355	0	f	2337	199692	34	35	now	160	1	3	1	2				ChoiceExp1	63	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										1	j	-999999	33	201253	0	j	2882	204135	0	j	-999999	33	197355	0	f	2337	199692	25	35	now	159	0	21	1	3				ChoiceExp1	6	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	33	205701	0	j	3398	209099	0	j	-999999	33	197355	0	f	2337	199692	11	30	now	109	0	32	1	4				ChoiceExp1	32	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	16	210649	0	j	2463	213112	0	j	-999999	33	197355	0	f	2337	199692	27	30	now	111	0	14	1	5				ChoiceExp1	40	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	16	214664	0	j	3128	217792	0	j	-999999	33	197355	0	f	2337	199692	33	35	now	61	0	15	1	6				ChoiceExp1	6	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										1	j	-999999	16	214664	0	j	3128	217792	1	j	-999999	33	219363	0	j	4079	223442	15	30	now	4	1	50	1	7				ChoiceExp1	64	List5
ITCvB_070219	4724	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757812</Frequency><Timestamp dt:dt="r8">5331344965534</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2020-01-21T22:19:01Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-4724-1	60.024	1.0.0.26	1	1291009812	Professional	2.0.10.356	2.0.10.356	01-21-2020		17:19:02	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										1	j	-999999	16	214664	0	j	3128	217792	0	j	-999999	17	224994	0	f	3687	228681	13	25	now	58	1	31	1	8				ChoiceExp1	55	List5
