subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
771	168	35	0	17	0
771	98	25	0	18	0
771	130	30	0	29	0
771	15	30	0	26	0
771	126	30	0	20	1
771	158	25	0	20	0
771	9	30	0	22	1
771	113	30	0	28	1
771	14	25	0	16	1
771	41	35	0	30	1
771	45	30	0	28	1
771	8	30	0	25	1
771	25	35	0	10	1
771	170	30	0	29	1
771	119	35	0	16	0
771	81	35	0	31	0
771	44	30	0	27	1
771	12	35	0	12	1
771	35	35	0	11	1
771	43	35	0	13	1
771	61	35	0	33	1
771	4	30	0	15	1
771	111	30	0	27	1
771	112	25	0	24	0
771	48	25	0	17	0
771	76	25	0	21	1
771	159	35	0	25	0
771	58	25	0	13	1
771	6	35	0	14	1
771	180	25	0	24	1
771	136	25	0	22	1
771	37	25	0	13	0
771	11	25	0	12	1
771	87	30	0	29	1
771	173	25	0	24	1
771	145	25	0	23	0
771	22	35	0	26	0
771	7	30	0	14	1
771	30	25	0	21	0
771	110	35	0	34	1
771	2	25	0	19	1
771	109	30	0	11	0
771	99	35	0	10	1
771	106	30	0	18	0
771	16	30	0	15	1
771	1	25	0	20	1
771	3	30	0	23	1
771	160	35	0	34	1
771	5	25	0	19	1
771	47	35	0	34	1
