subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
300	8	30	0	25	0
300	9	30	0	22	1
300	160	35	0	34	1
300	15	30	0	26	1
300	22	35	0	26	1
300	35	35	0	11	1
300	58	25	0	13	1
300	61	35	0	33	1
300	180	25	0	24	0
300	106	30	0	18	1
300	14	25	0	16	1
300	99	35	0	10	1
300	45	30	0	28	1
300	145	25	0	23	1
300	25	35	0	10	1
300	130	30	0	29	0
300	6	35	0	14	1
300	5	25	0	19	1
300	16	30	0	15	1
300	158	25	0	20	0
300	168	35	0	17	1
300	81	35	0	31	1
300	76	25	0	21	1
300	7	30	0	14	1
300	30	25	0	21	1
300	173	25	0	24	0
300	11	25	0	12	1
300	87	30	0	29	0
300	112	25	0	24	0
300	4	30	0	15	1
300	113	30	0	28	0
300	136	25	0	22	1
300	98	25	0	18	1
300	109	30	0	11	1
300	110	35	0	34	1
300	3	30	0	23	1
300	44	30	0	27	1
300	41	35	0	30	1
300	152	35	0	33	1
300	1	25	0	20	1
300	126	30	0	20	1
300	47	35	0	34	0
300	37	25	0	13	1
300	12	35	0	12	1
300	43	35	0	13	1
300	48	25	0	17	1
300	159	35	0	25	1
300	119	35	0	16	1
300	2	25	0	19	1
300	170	30	0	29	0
606	99	35	0	10	1
606	98	25	0	18	0
606	16	30	0	15	1
606	47	35	0	34	0
606	111	30	0	27	1
606	136	25	0	22	1
606	106	30	0	18	1
606	5	25	0	19	1
606	41	35	0	30	1
606	48	25	0	17	1
606	180	25	0	24	1
606	3	30	0	23	1
606	126	30	0	20	1
606	37	25	0	13	1
606	160	35	0	34	1
606	159	35	0	25	1
606	158	25	0	20	1
606	35	35	0	11	1
606	119	35	0	16	1
606	130	30	0	29	0
606	173	25	0	24	0
606	4	30	0	15	1
606	6	35	0	14	1
606	45	30	0	28	1
606	7	30	0	14	1
606	14	25	0	16	1
606	8	30	0	25	1
606	22	35	0	26	1
606	109	30	0	11	1
606	44	30	0	27	1
606	11	25	0	12	1
606	145	25	0	23	1
606	15	30	0	26	1
606	168	35	0	17	1
606	25	35	0	10	1
606	170	30	0	29	0
606	12	35	0	12	1
606	113	30	0	28	1
606	9	30	0	22	1
606	112	25	0	24	0
606	30	25	0	21	1
606	152	35	0	33	0
606	110	35	0	34	0
606	81	35	0	31	0
606	61	35	0	33	1
606	76	25	0	21	1
606	87	30	0	29	1
606	2	25	0	19	1
606	43	35	0	13	1
606	1	25	0	20	1
333	159	35	0	25	1
333	8	30	0	25	1
333	30	25	0	21	1
333	160	35	0	34	1
333	110	35	0	34	1
