subjID	delay_later	amount_later	delay_sooner	amount_sooner	choice
273	30	25	0	21	1
273	173	25	0	24	0
273	170	30	0	29	1
273	4	30	0	15	1
273	14	25	0	16	1
273	48	25	0	17	1
273	58	25	0	13	1
273	15	30	0	26	1
273	98	25	0	18	1
273	47	35	0	34	1
273	2	25	0	19	1
273	45	30	0	28	1
273	113	30	0	28	1
273	180	25	0	24	0
273	3	30	0	23	1
273	160	35	0	34	1
273	145	25	0	23	1
273	12	35	0	12	1
273	1	25	0	20	1
273	43	35	0	13	1
273	159	35	0	25	1
273	81	35	0	31	1
273	119	35	0	16	1
273	8	30	0	25	1
273	35	35	0	11	1
273	16	30	0	15	1
273	7	30	0	14	1
273	25	35	0	10	1
273	106	30	0	18	1
273	152	35	0	33	1
273	168	35	0	17	1
273	87	30	0	29	0
273	110	35	0	34	1
273	44	30	0	27	1
273	130	30	0	29	1
273	158	25	0	20	1
273	76	25	0	21	1
273	6	35	0	14	1
273	99	35	0	10	1
273	111	30	0	27	1
273	5	25	0	19	1
273	61	35	0	33	1
273	37	25	0	13	1
273	41	35	0	30	1
273	112	25	0	24	0
273	109	30	0	11	1
273	22	35	0	26	1
273	136	25	0	22	1
273	9	30	0	22	1
273	11	25	0	12	1
