C:\Users\tug47820\Downloads\data\data\s477_1\ITCvB_070219-477-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	0	j	0	28	208459	10012		0	0																			8	25	now	121 days					1	1	1	ChoiceExp2		List8
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	1	j	-999999	16	220004	0	j	4371	224375																			30	7	155 days	now					2	1	2	ChoiceExp2		List8
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0	j	-999999	31	231499	0	f	4213	235712	0		0	0	0	0		0	0	15	30	now	4	0	50	1	1				ChoiceExp1	42	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0	j	-999999	31	231499	0	f	4213	235712	1	j	-999999	17	237264	0	j	3433	240697	12	35	now	12	1	48	1	2				ChoiceExp1	51	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										0	j	-999999	31	231499	0	f	4213	235712	0	j	-999999	16	242245	0	f	1657	243902	13	25	now	37	1	34	1	3				ChoiceExp1	95	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	17	245444	0	j	2179	247623	0	j	-999999	16	242245	0	f	1657	243902	20	25	now	158	0	16	1	4				ChoiceExp1	39	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	17	245444	0	j	2179	247623	0	j	-999999	17	249176	0	f	2598	251774	16	25	now	14	1	37	1	5				ChoiceExp1	95	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	16	253324	0	j	3413	256737	0	j	-999999	17	249176	0	f	2598	251774	14	30	now	7	0	47	1	6				ChoiceExp1	39	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										1	j	-999999	16	253324	0	j	3413	256737	0	j	-999999	17	258289	0	f	1950	260239	15	30	now	16	1	41	1	7				ChoiceExp1	97	List5
ITCvB_070219	477	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757813</Frequency><Timestamp dt:dt="r8">312709612315</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-07-31T21:46:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-477-1	60.024	1.0.0.20	1	-822657386	Professional	2.0.10.356	2.0.10.356	07-31-2019	7/31/2019 9:46:18 PM	17:46:18	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										1	j	-999999	16	261787	0	j	1626	263413	0	j	-999999	17	258289	0	f	1950	260239	11	30	now	109	0	32	1	8				ChoiceExp1	37	List5
