C:\Users\tug47820\Downloads\data\data\s555-1\ITCvB_070219-555-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	0	j	0	28	124820	10012		0	0																			30	7	155 days	now					2	1	1	ChoiceExp2		List8
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	1	j	-999999	16	136365	0	j	2966	139331																			8	25	now	121 days					1	1	2	ChoiceExp2		List8
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0		0	0	0	0		0	0	0	j	0	17	142729	10013		0	0	11	30	now	109	1	32	1	1				ChoiceExp1	52	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0		0	0	0	0		0	0	1	j	-999999	33	154291	0	j	1936	156227	15	30	now	16	1	41	1	2				ChoiceExp1	80	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										1	j	-999999	16	157773	0	j	4848	162621	1	j	-999999	33	154291	0	j	1936	156227	11	35	now	35	0	42	1	3				ChoiceExp1	38	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	16	157773	0	j	4848	162621	0	j	-999999	17	164171	0	f	2807	166978	18	30	now	106	1	26	1	4				ChoiceExp1	71	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	16	168519	0	j	3491	172010	0	j	-999999	17	164171	0	f	2807	166978	26	35	now	22	0	33	1	5				ChoiceExp1	24	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	16	168519	0	j	3491	172010	1	j	-999999	16	173550	0	j	2361	175911	15	30	now	4	1	50	1	6				ChoiceExp1	97	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										1	j	-999999	16	177465	0	j	2122	179587	1	j	-999999	16	173550	0	j	2361	175911	21	25	now	30	0	25	1	7				ChoiceExp1	40	List5
ITCvB_070219	555	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757810</Frequency><Timestamp dt:dt="r8">1697422900005</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-09-04T21:25:42Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-555-1	60.024	1.0.0.20	1	911159212	Professional	2.0.10.356	2.0.10.356	09-04-2019	9/4/2019 9:25:42 PM	17:25:42	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										1	j	-999999	17	181131	0	j	3545	184676	1	j	-999999	16	173550	0	j	2361	175911	13	25	now	37	0	34	1	8				ChoiceExp1	4	List5
