C:\Users\tug47820\Downloads\data\data\s706\ITCvB_070219-706-1.edat2
ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	Procedure[Block]	Running[Block]	Trial	List3	List3.Cycle	List3.Sample	Procedure[Trial]	Running[Trial]	SubTrial	Amount13.ACC	Amount13.CRESP	Amount13.DurationError	Amount13.OnsetDelay	Amount13.OnsetTime	Amount13.OnsetToOnsetTime	Amount13.RESP	Amount13.RT	Amount13.RTTime	Amount14.ACC	Amount14.CRESP	Amount14.DurationError	Amount14.OnsetDelay	Amount14.OnsetTime	Amount14.OnsetToOnsetTime	Amount14.RESP	Amount14.RT	Amount14.RTTime	Amount6.ACC	Amount6.CRESP	Amount6.DurationError	Amount6.OnsetDelay	Amount6.OnsetTime	Amount6.OnsetToOnsetTime	Amount6.RESP	Amount6.RT	Amount6.RTTime	AmtL	AmtR	DelL	DelR	LeftRight	List5	List5.Cycle	List5.Sample	List8	List8.Cycle	List8.Sample	Procedure[SubTrial]	RandomNum	Running[SubTrial]
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	1	0	j	-999999	40	148816	0	f	2997	151813																			30	7	155 days	now					2	1	1	ChoiceExp2		List8
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	1	1	1	1	Practice	List3	2	1	j	-999999	33	153381	0	j	5288	158669																			8	25	now	121 days					1	1	2	ChoiceExp2		List8
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	1										0		0	0	0	0		0	0	1	j	-999999	38	161611	0	j	2481	164092	12	25	now	11	1	43	1	1				ChoiceExp1	97	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	2										0		0	0	0	0		0	0	1	j	-999999	32	165659	0	j	1631	167290	10	35	now	99	1	36	1	2				ChoiceExp1	67	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	3										0		0	0	0	0		0	0	0	j	-999999	33	168858	0	f	3801	172659	31	35	now	81	1	18	1	3				ChoiceExp1	73	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	4										1	j	-999999	33	174223	0	j	7210	181433	0	j	-999999	33	168858	0	f	3801	172659	18	30	now	106	0	26	1	4				ChoiceExp1	45	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	5										1	j	-999999	33	174223	0	j	7210	181433	0	j	-999999	33	183003	0	f	2798	185801	21	25	now	76	1	19	1	5				ChoiceExp1	91	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	6										1	j	-999999	32	187367	0	j	6424	193791	0	j	-999999	33	183003	0	f	2798	185801	26	35	now	22	0	33	1	6				ChoiceExp1	25	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	7										1	j	-999999	32	187367	0	j	6424	193791	0	j	-999999	33	195364	0	f	4680	200044	19	25	now	2	1	46	1	7				ChoiceExp1	55	List5
ITCvB_070219	706	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">1757816</Frequency><Timestamp dt:dt="r8">2429305473738</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2019-12-08T19:35:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	ITCvB_070219-706-1	60.024	1.0.0.26	1	-1645667177	Professional	2.0.10.356	2.0.10.356	12-08-2019	12/8/2019 7:35:09 PM	14:35:09	2.0.10.252	1	1	1	1	Experiment	List1	2	2	1	2	ChoiceExp	List3	8										1	j	-999999	33	201612	0	j	2356	203968	0	j	-999999	33	195364	0	f	4680	200044	24	25	now	180	0	1	1	8				ChoiceExp1	24	List5
